Dato;År;Kommune;Stedfesting;Art;Kjønn;Alder;Årsak;Utfall;Merkelappnummer;Fallvilt-ID;UTM33 øst;UTM33 nord;vegsystemreferanse.kortform;vegkategori;fase;vegnr;strekning;delstrekning;arm;adskilte_løp;trafikantgruppe;retning;meter;veglenkesekvensid;relativPosisjon;veglenkesekvens.kortform;geometri.wkt;geometri.srid;kommune (treff);avstand_vegnettet_m;Vegobjekt_540_id;ÅDT, total;Vegobjekt_105_id;Fartsgrense;Vegobjekt_540_lengde
22.01.2026;2026;5001 Trondheim;Osloveien ;Rådyr;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Ettersøk avsluttet - ikke funnet;;1332625;269824,0768;7038940,349;KV6683 S1D1 m53;K;V;6683;1;1;False;Nei;K;MED;52.691;42452;0.12640102;0.12640102@42452;POINT Z (269771.3 7038943.5 8.938);5973;5001;52.871;;;85282196;30;
22.01.2026;2026;5054 Indre Fosen;Kristian P Bergs Vei / Fallin;Rådyr;Hunn;Ungdyr;Påkjørt av motorkjøretøy;Avlivet på stedet;;1332634;249905,2333;7057821,274;FV6368 S1D1 m5254;F;V;6368;1;1;False;Nei;K;MED;5254.049;72447;0.63968376;0.63968376@72447;POINT Z (249905.26 7057821.045 39.989);5973;5054;0.231;1024046995;300;85309928;80;6589.197
22.01.2026;2026;5006 Steinkjer;1- Oksur;Rådyr;Hunn;Ungdyr;Påkjørt av motorkjøretøy;Avlivet etter ettersøk;;1333043;326623,1054;7099397,672;FV6956 S1D1 m2715;F;V;6956;1;1;False;Nei;K;MED;2714.513;578393;0.35223435;0.35223435@578393;POINT Z (326592.305 7099441.758 128.541);5973;5006;53.779;1024046660;499;1014063347;80;4470.143
22.01.2026;2026;5059 Orkland;Fremstad, Agdenes;Rådyr;Hunn;Voksent dyr;Påkjørt av motorkjøretøy;Avlivet på stedet;100000445310;1332544;234920,6446;7064987,19;FV6422 S1D1 m3545;F;V;6422;1;1;False;Nei;K;MED;3544.549;72490;0.42581946;0.42581946@72490;POINT Z (234921.783 7064987.166 15.441);5973;5059;1.139;1024045546;450;265922493;60;890.041
22.01.2026;2026;5060 Nærøysund;Dyrneset;Rådyr;Hann;Voksent dyr;Påkjørt av motorkjøretøy;Dødt på stedet;;1332777;329977,538;7192062,646;FV769 S9D1 m2422;F;V;769;9;1;False;Nei;K;MED;2422.151;578204;0.14522923;0.14522923@578204;POINT Z (329973.917 7192067.378 10.1);5973;5060;5.958;1024046721;700;264308785;80;4821.912
21.01.2026;2026;5059 Orkland;Jerpstad Meldal ;Rådyr;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Ettersøk avsluttet - ikke funnet;;1332504;233056,3001;6995678,914;FV700 S4D1 m6114;F;V;700;4;1;False;Nei;K;MED;6114.008;72831;0.62842516;0.62842516@72831;POINT Z (233059.53 6995680.918 152.421);5973;5059;3.801;1024046640;1800;85311069;70;6784.021
21.01.2026;2026;5006 Steinkjer;3- Bindesberget;Rådyr;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Ettersøk avsluttet - ikke funnet;;1333042;339130,5733;7111564,276;KV5315 S1D1 m817;K;V;5315;1;1;False;Nei;K;MED;816.592;552932;0.29042606;0.29042606@552932;POINT Z (339130.447 7111564.134 94.658);5973;5006;0.19;;;80537271;50;
21.01.2026;2026;5037 Levanger;Leira E6;Rådyr;Hunn;Kalv/årsunge;Påkjørt av motorkjøretøy;Avlivet på stedet;;1332494;309220,5013;7067795,202;EV6 S84D1 m2672;E;V;6;84;1;False;Nei;K;MED;2671.874;1742835;0.22559564;0.22559564@1742835;POINT Z (309221.941 7067794.415 37.92);5973;5037;1.64;1022805904;8480;905755262;90;3884.691
21.01.2026;2026;5053 Inderøy;krokskorsen.;Rådyr;Hann;Voksent dyr;Påkjørt av motorkjøretøy;Avlivet på stedet;;1332450;322516,4173;7098335,811;FV761 S1D1 m12419;F;V;761;1;1;False;Nei;K;MED;12419.463;578168;0.53337712;0.53337712@578168;POINT Z (322516.682 7098334.05 9.233);5973;5053;1.781;1024046351;3300;171041436;80;2137.762
21.01.2026;2026;5057 Ørland;skavdalen, Bjugn;Rådyr;Hunn;Voksent dyr;Påkjørt av motorkjøretøy;Avlivet på stedet;;1332404;244528,0579;7079011,72;;;;;;;;;;;;;;;;;;;324914522;2500;78697179;50;197.073
21.01.2026;2026;5021 Oppdal;engan;Hjort;Ukjent;Kalv/årsunge;Påkjørt av motorkjøretøy;Dødt på stedet;;1332391;220866,8813;6939563,256;EV6 S60D1 m8504;E;V;6;60;1;False;Nei;K;MED;8503.586;72147;0.01161538;0.01161538@72147;POINT Z (220862.055 6939565.959 636.052);5973;5021;5.531;1022805650;2370;85311142;80;5879.678
20.01.2026;2026;5035 Stjørdal;Sanferhusbrua E6;Hjortedyr - ikke artsbestemt;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Avlivet på stedet;;1332448;295758,4583;7042105,899;EV6 S79D1 m795;E;V;6;79;1;False;Nei;K;MED;795.259;578593;0.27878913;0.27878913@578593;POINT Z (295756.637 7042109.918 6.962);5973;5035;4.413;1022805753;17000;86973833;80;862.284
20.01.2026;2026;5054 Indre Fosen;Leira;Rådyr;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Ettersøk avsluttet - ikke funnet;;1332406;252222,5753;7062217,941;FV720 S2D1 m8598;F;V;720;2;1;False;Nei;K;MED;8597.561;72855;0.8725478;0.8725478@72855;POINT Z (252224.213 7062216.568 17.916);5973;5054;2.137;1024045937;1160;85312224;60;3331.647
20.01.2026;2026;5054 Indre Fosen;Tømmerdalen;Rådyr;Hunn;Voksent dyr;Påkjørt av motorkjøretøy;Dødt på stedet;;1332315;280637,1714;7063606,889;FV755 S8D1 m4030;F;V;755;8;1;False;Nei;K;MED;4029.52;578148;0.01508873;0.01508873@578148;POINT Z (280637.573 7063606.677 14.241);5973;5054;0.454;1024045964;697;86975657;80;28148.139
20.01.2026;2026;5054 Indre Fosen;Seter;Rødrev;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Dødt på stedet;;1332316;271690,235;7057552,309;PV97455 S1D1 m5;P;V;97455;1;1;False;Nei;K;MED;4.884;563013;0.13942137;0.13942137@563013;POINT Z (271689.227 7057553.039 13.68);5973;5054;1.244;;;79576579;30;
19.01.2026;2026;5059 Orkland;Løkken, Meldal.;Rådyr;Hunn;Voksent dyr;Påkjørt av motorkjøretøy;Dødt på stedet;100000617629;1332328;233046,999;7009914,464;FV700 S2D1 m405;F;V;700;2;1;False;Nei;K;MED;404.526;72292;0.68785204;0.68785204@72292;POINT Z (233048.513 7009913.715 168.109);5973;5059;1.689;1024046175;2000;136671865;50;4466.536
19.01.2026;2026;5057 Ørland;Forhåndslageret;Rådyr;Hunn;Kalv/årsunge;Påkjørt av motorkjøretøy;Avlivet etter ettersøk;;1332762;244283,3468;7080184,847;FV6360 S1D1 m752;F;V;6360;1;1;False;Nei;K;MED;751.785;72442;0.17502431;0.17502431@72442;POINT Z (244272.368 7080178.537 24.655);5973;5057;12.663;1024046633;1070;85311414;60;1399.419
19.01.2026;2026;5053 Inderøy;Stryken.;Elg;Hunn;Ungdyr;Påkjørt av motorkjøretøy;Dødt på stedet;;1332302;290300,0148;7080895,755;FV755 S4D1 m9125;F;V;755;4;1;False;Nei;K;MED;9125.366;578146;0.07875697;0.07875697@578146;POINT Z (290299.935 7080896.106 219.529);5973;5053;0.36;1024046045;619;86974453;80;15466.363
19.01.2026;2026;5038 Verdal;Hegstad-Stiklestad;Rådyr;Hunn;Voksent dyr;Påkjørt av motorkjøretøy;Avlivet etter ettersøk;;1332290;331239,1108;7077636,381;FV757 S2D1 m1311;F;V;757;2;1;False;Nei;K;MED;1310.611;578655;0.49055128;0.49055128@578655;POINT Z (331242.245 7077638.335 10.844);5973;5038;3.693;1024046133;2100;86974776;80;1802.69
