Vegobjekt_540_id,Vegnamn,Art,"ÅDT, total_avg",Vegobjekt_540_lengde_avg,UTM_nord_int_avg,UTM33_øst_int_avg,antall_kollisjoner,frekvens,årsrisiko,samanlikning_yrke
1026880346.0,FV717,Rådyr,1500,4662,7052026,248672,10,0.0003917812136990219,0.05876718205485329,>2x høgare risiko enn høgrisikoyrke
1026880445.0,FV715,Rådyr,1470,5062,7068479,264426,10,0.0003681863299705771,0.05522794949558657,>2x høgare risiko enn høgrisikoyrke
1026880853.0,FV715,Rådyr,1580,13505,7073951,264752,8,0.00010271773801160415,0.015407660701740622,"Renhaldarar, hjelpearbeidarar mv."
1026879984.0,FV720,Rådyr,559,13700,7078183,275825,4,0.00014309839141309484,0.021464758711964224,1-2x høgare risiko enn høyrisikoyrke
1026879396.0,FV718,Rådyr,355,18427,7074074,251220,5,0.00020940842528204253,0.03141126379230638,1-2x høgare risiko enn høyrisikoyrke
1026880216.0,FV715,Rådyr,1600,11321,7060995,262409,6,9.07514583759361e-05,0.013612718756390415,Sals- og serviceyrke
1026880214.0,FV755,Rådyr,392,15511,7078767,285038,3,0.00013517691332602308,0.02027653699890346,Håndverkarar
1026880106.0,FV717,Rådyr,1330,6690,7051203,254757,8,0.00024633116669676525,0.036949675004514786,1-2x høgare risiko enn høyrisikoyrke
1026880580.0,FV715,Rådyr,1700,3123,7082589,265041,3,0.00015481302070391933,0.0232219531055879,1-2x høgare risiko enn høyrisikoyrke
1026880652.0,FV720,Rådyr,1000,2156,7061487,253170,3,0.00038122347319998986,0.05718352097999848,>2x høgare risiko enn høgrisikoyrke
1026880445.0,FV715,Elg,1470,5062,7067503,265091,3,0.00011045589899117314,0.016568384848675972,"Renhaldarar, hjelpearbeidarar mv."
1026879587.0,FV6368,Rådyr,300,6589,7058706,250818,6,0.0008316060183327547,0.12474090274991322,>5x høgare risiko enn høgrisikoyrke
1026879822.0,FV715,Rådyr,2200,6340,7053699,260046,9,0.0001767818629665568,0.02651727944498352,1-2x høgare risiko enn høyrisikoyrke
1026880853.0,FV715,Elg,1580,13505,7075322,264993,4,5.1358869005802076e-05,0.007703830350870311,Kontoryrke
1026880162.0,FV720,Rådyr,950,3323,7065636,256006,3,0.00026036010840527045,0.03905401626079057,1-2x høgare risiko enn høyrisikoyrke
1026880160.0,FV755,Rådyr,1100,920,7068705,284028,3,0.0008121717472521523,0.12182576208782284,>5x høgare risiko enn høgrisikoyrke
1026880103.0,FV720,Rådyr,1180,3332,7062968,253084,4,0.00027872769725489454,0.041809154588234185,>2x høgare risiko enn høgrisikoyrke
1026879590.0,FV6386,Rådyr,300,2867,7060735,254820,3,0.0009556072645264249,0.14334108967896372,>5x høgare risiko enn høgrisikoyrke
1026880546.0,FV720,Rådyr,735,13592,7104832,314676,9,0.0002468191998351906,0.03702287997527859,1-2x høgare risiko enn høyrisikoyrke
1026879591.0,FV17,Elg,3900,3671,7110338,328477,7,0.0001339541534255378,0.02009312301383067,"Prosess- og maskinoperatørar, transportarbeidarar mv."
1026905060.0,EV6,Rådyr,8200,2598,7091551,325275,5,6.430194960939137e-05,0.009645292441408706,Kontoryrke
1026904647.0,EV6,Rådyr,2460,31163,7122300,352134,10,3.573820772180659e-05,0.005360731158270988,Høgskuleyrke
1026880310.0,FV17,Rådyr,3600,4267,7112662,325530,5,8.917682301503986e-05,0.013376523452255979,Sals- og serviceyrke
1026879969.0,FV17,Rådyr,2300,5089,7115920,320164,3,7.02211768109544e-05,0.010533176521643161,Kontoryrke
1026879856.0,FV759,Rådyr,950,5451,7098219,330943,3,0.00015871888465065378,0.023807832697598067,1-2x høgare risiko enn høyrisikoyrke
1026879177.0,FV6952,Rådyr,240,5291,7096044,330154,5,0.0010787682020558732,0.161815230308381,>5x høgare risiko enn høgrisikoyrke
1026880253.0,FV763,Rådyr,968,3693,7111658,340150,3,0.00022991839828175544,0.03448775974226331,1-2x høgare risiko enn høyrisikoyrke
1026880775.0,FV6972,Rådyr,300,10705,7106051,340034,3,0.0002559295681828361,0.03838943522742541,1-2x høgare risiko enn høyrisikoyrke
1026904647.0,EV6,Elg,2460,31163,7120121,347295,6,2.144292463308395e-05,0.0032164386949625925,Leiarar
1026880060.0,FV763,Rådyr,1200,6085,7109168,337635,7,0.0002626414981071052,0.03939622471606578,1-2x høgare risiko enn høyrisikoyrke
1026880371.0,FV17,Rådyr,2900,2723,7112657,322450,3,0.00010408370689264858,0.015612556033897287,"Renhaldarar, hjelpearbeidarar mv."
1026880758.0,FV6982,Rådyr,1000,10607,7105003,325177,11,0.00028412356275450045,0.04261853441317507,>2x høgare risiko enn høgrisikoyrke
1026879851.0,FV762,Elg,1100,4553,7103768,334339,3,0.0001641111371561564,0.02461667057342346,1-2x høgare risiko enn høyrisikoyrke
1026880788.0,FV763,Rådyr,3110,4570,7105460,330387,4,7.710641967809805e-05,0.011565962951714708,Kontoryrke
1026880895.0,FV6956,Rådyr,500,4474,7099783,326827,3,0.0003674196728740179,0.05511295093110269,>2x høgare risiko enn høgrisikoyrke
1026904649.0,EV6,Rådyr,2100,5896,7115158,335394,6,0.00013276439365173776,0.019914659047760665,"Prosess- og maskinoperatørar, transportarbeidarar mv."
1026880433.0,FV720,Rådyr,140,34258,7088488,291928,3,0.00017137140192888795,0.025705710289333192,1-2x høgare risiko enn høyrisikoyrke
1026880758.0,FV6982,Elg,1000,10607,7105662,323098,4,0.00010331765918345472,0.015497648877518207,"Renhaldarar, hjelpearbeidarar mv."
1026879853.0,FV17,Rådyr,1500,5669,7134407,316194,4,0.00012887521737624556,0.019331282606436833,"Bønder, fiskarar mv."
1026880403.0,FV7068,Rådyr,300,14778,7169194,319381,4,0.0002471896086432319,0.037078441296484785,1-2x høgare risiko enn høyrisikoyrke
1026880777.0,FV6928,Rådyr,248,24711,7159250,313252,4,0.00017882372010096458,0.02682355801514469,1-2x høgare risiko enn høyrisikoyrke
1026879926.0,FV769,Rådyr,2600,2200,7156398,330687,3,0.00014369192451384232,0.021553788677076347,1-2x høgare risiko enn høyrisikoyrke
1026879861.0,FV7068,Rådyr,500,5676,7164734,321253,3,0.00028961163080309303,0.043441744620463955,>2x høgare risiko enn høgrisikoyrke
1026880883.0,FV767,Rådyr,950,12989,7157080,325445,7,0.0001554196238256729,0.023312943573850935,1-2x høgare risiko enn høyrisikoyrke
