Vegobjekt_540_id,Art,Kommune,"ÅDT, total",Vegobjekt_540_lengde,antall_kollisjoner,frekvens
1024046937.0,Rådyr,5028 Melhus,1200.0,5985.962,7,1.576626290018154e-05
1024046721.0,Rådyr,5060 Nærøysund,700.0,4821.912,4,1.5365585697712832e-05
1024045894.0,Rådyr,5055 Heim,1580.0,11332.075,9,1.5305289508053984e-05
1024046363.0,Hjort,5056 Hitra,700.0,7279.836,4,1.5221858588933708e-05
1024046640.0,Rådyr,5059 Orkland,1800.0,6784.021,10,1.506514167259229e-05
1024046938.0,Rådyr,5060 Nærøysund,717.0,5811.055,4,1.495237668027333e-05
1024045735.0,Rådyr,5054 Indre Fosen,1470.0,5062.181,8,1.4770721475890489e-05
1024046203.0,Rådyr,5058 Åfjord,729.0,5411.621,4,1.4733127806200437e-05
1024046452.0,Rådyr,5006 Steinkjer,1100.0,6085.473,6,1.472085577241557e-05
1024045551.0,Elg,5046 Høylandet,877.0,20270.708,5,1.4689637342233295e-05
1024045551.0,Elg,5060 Nærøysund,877.0,20270.708,5,1.4689637342233295e-05
1024045835.0,Rådyr,5053 Inderøy,550.0,3892.233,3,1.4659747265957136e-05
1024046631.0,Elg,5007 Namsos,700.0,17818.619,4,1.4634913782064182e-05
1022805395.0,Hjort,5055 Heim,2080.0,5924.542,11,1.437673582747917e-05
1022805388.0,Rådyr,5006 Steinkjer,2600.0,31163.243,14,1.4283338587561456e-05
1022805388.0,Rådyr,5041 Snåsa,2600.0,31163.243,14,1.4283338587561456e-05
1024045895.0,Rådyr,5059 Orkland,1490.0,19621.303,8,1.419771381313324e-05
1024046601.0,Rådyr,5054 Indre Fosen,1720.0,13505.125,9,1.403388403333827e-05
1024045494.0,Rådyr,5059 Orkland,945.0,16178.022,5,1.3846464859056834e-05
1024046188.0,Rådyr,5054 Indre Fosen,1000.0,2156.4,5,1.3618189543409342e-05
1024046194.0,Rådyr,5060 Nærøysund,800.0,2089.863,4,1.3601278520180896e-05
1024045639.0,Elg,5060 Nærøysund,770.0,24848.722,4,1.30762114292626e-05
1022805916.0,Hjort,5055 Heim,1660.0,9285.324,8,1.3004218243292668e-05
1022805916.0,Rådyr,5055 Heim,1660.0,9285.324,8,1.3004218243292668e-05
1022805754.0,Rådyr,5021 Oppdal,4400.0,13248.23,21,1.296898313291108e-05
1022805754.0,Rådyr,5022 Rennebu,4400.0,13248.23,21,1.296898313291108e-05
1024045819.0,Rådyr,5049 Flatanger,625.0,9575.888,3,1.2620897682382488e-05
1024045819.0,Rådyr,5007 Namsos,625.0,9575.888,3,1.2620897682382488e-05
1024046917.0,Rådyr,5056 Hitra,1300.0,2674.36,6,1.2574029599265676e-05
1024045886.0,Rådyr,5054 Indre Fosen,1300.0,6690.325,6,1.2469087055009455e-05
1024046195.0,Elg,5038 Verdal,584.0,30340.756,3,1.232027794547045e-05
1024045748.0,Rådyr,5057 Ørland,2040.0,11100.656,9,1.1909472132496848e-05
1024045530.0,Rådyr,5027 Midtre Gauldal,1300.0,30272.09,6,1.1886554721735754e-05
1024045530.0,Rådyr,5026 Holtålen,1300.0,30272.09,6,1.1886554721735754e-05
1024045807.0,Rådyr,5054 Indre Fosen,1600.0,11320.552,7,1.1758362295299511e-05
1024046126.0,Rådyr,5041 Snåsa,688.0,5002.073,3,1.1713167943401972e-05
1024046287.0,Rådyr,5037 Levanger,700.0,1938.981,3,1.1653246011676552e-05
1024046396.0,Rådyr,5026 Holtålen,1380.0,12039.816,6,1.1633768953348587e-05
1024045528.0,Rådyr,5057 Ørland,700.0,2612.095,3,1.1622861393503596e-05
1024045610.0,Rådyr,5057 Ørland,700.0,3083.841,3,1.1601645886829812e-05
1024046144.0,Rådyr,5022 Rennebu,700.0,3478.0,3,1.1583995551745708e-05
1024046721.0,Elg,5060 Nærøysund,700.0,4821.912,3,1.1524189273284625e-05
1024045565.0,Rådyr,5006 Steinkjer,950.0,5451.18,4,1.1357151172199965e-05
1024045604.0,Rådyr,5057 Ørland,1440.0,5634.106,6,1.1294457809552853e-05
1024046273.0,Rådyr,5036 Frosta,700.0,11450.058,3,1.1238059561715677e-05
1024046940.0,Rådyr,5028 Melhus,727.0,3805.883,3,1.1145745483186643e-05
1024046005.0,Hjort,5032 Selbu,700.0,16631.599,3,1.1024061852336366e-05
1024046005.0,Elg,5032 Selbu,700.0,16631.599,3,1.1024061852336366e-05
1024046005.0,Rådyr,5032 Selbu,700.0,16631.599,3,1.1024061852336366e-05
1022805706.0,Hjort,5055 Heim,2450.0,21968.428,10,1.0914433027947497e-05
1024046298.0,Rådyr,5007 Namsos,1500.0,5669.456,6,1.0846594801950217e-05
1024046339.0,Rådyr,5054 Indre Fosen,750.0,4256.01,3,1.0791134004302066e-05
