Vegobjekt_540_id,Art,"ÅDT, total_avg",Vegobjekt_540_lengde_avg,UTM_nord_int_avg,UTM33_øst_int_avg,antall_kollisjoner,frekvens,årsrisiko,samanlikning_yrke
1024046936.0,Rådyr,175,5832,7206286,308815,7,0.0018790987842230867,0.281864817633463,>10x høgare risiko enn høgrisikoyrke
1024046631.0,Rådyr,700,17819,7145935,316086,5,0.00010982362435751807,0.01647354365362771,"Renhaldarar, hjelpearbeidarar mv."
1024046321.0,Elg,1100,4553,7103768,334339,3,0.0001641111371561564,0.02461667057342346,1-2x høgare risiko enn høyrisikoyrke
1022805783.0,Elg,1830,15372,7032273,343072,3,2.921776049488809e-05,0.004382664074233214,Leiarar
1024045551.0,Elg,877,20271,7200280,375158,4,6.164421973698259e-05,0.00924663296054739,Kontoryrke
1024046131.0,Rådyr,1500,4662,7052225,248509,15,0.0005876718205485329,0.08815077308227993,>2x høgare risiko enn høgrisikoyrke
1022805428.0,Rådyr,2100,5896,7115016,335016,5,0.00011063699470978146,0.01659554920646722,"Renhaldarar, hjelpearbeidarar mv."
1024046542.0,Hjort,2230,10163,6995939,265625,3,3.626616237036653e-05,0.005439924355554979,Høgskuleyrke
1024046459.0,Rådyr,2200,2804,7095118,319529,5,0.0002220631263290478,0.03330946894935717,1-2x høgare risiko enn høyrisikoyrke
1024045805.0,Rådyr,600,9828,7035604,205065,6,0.0002787674020550733,0.041815110308260996,>2x høgare risiko enn høgrisikoyrke
1024045834.0,Hjort,2300,7883,7063816,201860,4,6.044324390730213e-05,0.009066486586095318,Kontoryrke
1024046144.0,Rådyr,700,3478,6986437,234925,3,0.0003375987054214976,0.05063980581322464,>2x høgare risiko enn høgrisikoyrke
1024045635.0,Hjort,500,60514,7056152,198368,10,9.054850207876723e-05,0.013582275311815085,Sals- og serviceyrke
1024045823.0,Rådyr,1000,920,7068705,284028,3,0.0008933889219773674,0.1340083382966051,>5x høgare risiko enn høgrisikoyrke
1022805567.0,Rådyr,2700,8321,7146720,370993,3,3.658382442544646e-05,0.005487573663816969,Høgskuleyrke
1024045655.0,Rådyr,1580,4049,7056222,248245,7,0.00029977838240698314,0.04496675736104747,>2x høgare risiko enn høgrisikoyrke
1022805551.0,Rådyr,8400,5216,7063637,306221,3,1.8759079394426903e-05,0.0028138619091640353,lågare risiko enn dei fleste yrke
1022805607.0,Rådyr,3000,6052,7041304,314148,3,4.526976251482585e-05,0.006790464377223877,Høgskuleyrke
1024046755.0,Rådyr,2190,2792,7061366,251395,4,0.00017922871788915887,0.02688430768337383,1-2x høgare risiko enn høyrisikoyrke
1022805738.0,Hjort,1700,13680,7019761,177868,12,0.00014136873206384211,0.021205309809576318,1-2x høgare risiko enn høyrisikoyrke
1024045639.0,Rådyr,770,24849,7205194,354766,6,8.591297234979046e-05,0.012886945852468568,Sals- og serviceyrke
1024045703.0,Elg,418,55635,7151727,417196,5,5.8905082111946765e-05,0.008835762316792015,Kontoryrke
1024046005.0,Hjort,700,16632,7010224,308584,3,7.05969394814796e-05,0.010589540922221941,Kontoryrke
1024047170.0,Rådyr,2100,2529,7059189,302724,3,0.00015476055060708696,0.023214082591063043,1-2x høgare risiko enn høyrisikoyrke
1024046086.0,Rådyr,2960,2858,7153932,348900,7,0.0002266998537980257,0.03400497806970386,1-2x høgare risiko enn høyrisikoyrke
1022805624.0,Elg,9600,7748,7056763,301897,3,1.1050134016025346e-05,0.0016575201024038018,lågare risiko enn dei fleste yrke
