Uri;FallviltId;Kjonn;HendelsesDatoTid;UkjentTidspunkt;Latitude;Longitude;KommuneNummer;KommuneNavn;VillreinområdeNummer;VillreinområdeNavn;Arsak;TypeMotorkjøretøy;RegistrertDatoTid;EndretDatoTid;Dato;År;Kommune;Stedfesting;Art;Kjønn;Alder;Årsak;Utfall;Merkelappnummer;Fallvilt-ID;UTM33 øst;UTM33 nord;OppdatertDatoTid;vegsystemreferanse.kortform;vegkategori;fase;vegnr;strekning;delstrekning;arm;adskilte_løp;trafikantgruppe;retning;meter;veglenkesekvensid;relativPosisjon;veglenkesekvens.kortform;geometri.wkt;geometri.srid;kommune (treff);avstand_vegnettet_m;Vegobjekt_540_id;ÅDT, total;Vegobjekt_105_id;Fartsgrense;Vegobjekt_540_lengde;snow_depth;max_temperature;min_temperature;mean_temperature;total_precipitation;max_wind_speed;mean_wind_speed;max_wind_gust;precipitation_type;weather_station_id;Måned;monthly_snow_depth;monthly_mean_temperature;monthly_mean_wind_speed;HendelsesDatoTid;UkjentTidspunkt
https://www.hjorteviltregisteret.no/api/v0/fallvilt/1309312;1309312;Hann;2025-02-05T00:00:00;True;62.72991522785472;10.002182537612962;5022;Rennebu;;;PåkjørtAvMotorkjøretøy;Lastebil;2025-02-05T15:32:05.293244Z;2025-02-05T15:32:05.301377Z;2025-02-05;2025;5022 Rennebu;;Elg;Hann;Voksen;PåkjørtAvMotorkjøretøy;DødtPåStedet;;1309312;244699.98074336303;6965403.824967637;2026-04-30T07:26:42.095532;RV3 S29D1 m2955;R;V;3.0;29.0;1.0;False;Nei;K;MED;2954.685;72270.0;0.22823823;0.22823823@72270;POINT Z (244708.437 6965409.473 466.433);5973.0;5022.0;10.169;;;;;;;;;;;;;;;;2;0.0;;;2025-02-05T00:00:00;true
https://www.hjorteviltregisteret.no/api/v0/fallvilt/1338440;1338440;Ukjent;2026-04-20T00:00:00;True;62.832813;9.972894;5022;Rennebu;;;PåkjørtAvMotorkjøretøy;;2026-04-20T06:32:58.498985Z;2026-04-27T07:28:43.25306Z;2026-04-20;2026;5022 Rennebu;;Grevling;Ukjent;Ukjent;PåkjørtAvMotorkjøretøy;DødtPåStedet;;1338440;244100.8583250274;6976958.787758816;2026-04-30T07:26:42.095532;FV700 S7D1 m4736;F;V;700.0;7.0;1.0;False;Nei;K;MED;4735.524;72296.0;0.65856324;0.65856324@72296;POINT Z (244102.854 6976960.974 296.568);5973.0;5022.0;2.96;;;;;;;;;7.1;;;;;;SN67340;4;;6.475;;2026-04-20T00:00:00;true
https://www.hjorteviltregisteret.no/api/v0/fallvilt/1315482;1315482;Hunn;2025-05-22T06:00:00;False;62.90711;9.785866;5022;Rennebu;;;PåkjørtAvMotorkjøretøy;Lastebil;2025-05-22T13:39:35.456078Z;2025-05-22T13:39:35.46306Z;2025-05-22;2025;5022 Rennebu;;Rådyr;Hunn;Ungdyr;PåkjørtAvMotorkjøretøy;DødtPåStedet;;1315482;235266.1629516717;6985974.336926759;2026-04-30T07:26:42.095532;FV700 S5D1 m8235;F;V;700.0;5.0;1.0;False;Nei;K;MED;8234.527;72294.0;0.84101447;0.84101447@72294;POINT Z (235266.836 6985979.418 233.619);5973.0;5022.0;5.125;;;;;;;;;;;;;;;;5;;5.35;;2025-05-22T06:00:00;false
https://www.hjorteviltregisteret.no/api/v0/fallvilt/1312246;1312246;Hunn;2025-04-02T18:50:00;False;62.91876;9.762494;5022;Rennebu;;;PåkjørtAvMotorkjøretøy;Personbil;2025-04-02T17:39:37.561515Z;2025-04-02T17:39:37.565336Z;2025-04-02;2025;5022 Rennebu;;Rådyr;Hunn;Voksen;PåkjørtAvMotorkjøretøy;DødtPåStedet;;1312246;234187.1212299736;6987365.6151224375;2026-04-30T07:26:42.095532;FV700 S5D1 m6350;F;V;700.0;5.0;1.0;False;Nei;K;MED;6350.397;72294.0;0.64765415;0.64765415@72294;POINT Z (234181.962 6987364.161 235.244);5973.0;5022.0;5.36;;;;;;;;;;;;;;;;4;;0.7;;2025-04-02T18:50:00;false
https://www.hjorteviltregisteret.no/api/v0/fallvilt/1312711;1312711;Ukjent;2025-04-12T08:00:00;False;62.85304;10.020717;5022;Rennebu;;;PåkjørtAvMotorkjøretøy;;2025-04-12T06:58:31.843756Z;2025-04-20T15:18:36.488915Z;2025-04-12;2025;5022 Rennebu;;Grevling;Ukjent;Ukjent;PåkjørtAvMotorkjøretøy;DødtPåStedet;;1312711;246705.9443981068;6979018.071672035;2026-04-30T07:26:42.095532;EV6 S66D1 m2770;E;V;6.0;66.0;1.0;False;Nei;K;MED;2770.244;72806.0;0.54030043;0.54030043@72806;POINT Z (246703.029 6979019.073 423.541);5973.0;5022.0;3.082;;;;;;;;;;;;;;;;4;;0.7;;2025-04-12T08:00:00;false
https://www.hjorteviltregisteret.no/api/v0/fallvilt/1307411;1307411;Ukjent;2025-01-13T04:25:00;False;62.881954;9.832647;5022;Rennebu;;;PåkjørtAvMotorkjøretøy;Lastebil;2025-01-13T05:19:13.888915Z;2025-01-13T05:19:55.52043Z;2025-01-13;2025;5022 Rennebu;;Rådyr;Ukjent;Voksen;PåkjørtAvMotorkjøretøy;EttersøkAvsluttetIkkefunnet;;1307411;237412.4599261795;6982986.462127104;2026-04-30T07:26:42.095532;FV700 S6D1 m2638;F;V;700.0;6.0;1.0;False;Nei;K;MED;2638.18;72295.0;0.27641918;0.27641918@72295;POINT Z (237410.446 6982986.026 222.378);5973.0;5022.0;2.061;;;;;;;;;4.9;;;;;;SN66630;1;47.0;-3.266666666666666;;2025-01-13T04:25:00;false
https://www.hjorteviltregisteret.no/api/v0/fallvilt/1306331;1306331;Hunn;2025-01-04T17:30:00;False;62.844097;9.902416;5022;Rennebu;;;PåkjørtAvMotorkjøretøy;Personbil;2025-01-04T21:34:19.797581Z;2025-01-05T14:29:18.984431Z;2025-01-04;2025;5022 Rennebu;;Rådyr;Hunn;Voksen;PåkjørtAvMotorkjøretøy;DødtPåStedet;;1306331;240618.3044155672;6978495.396192645;2026-04-30T07:26:42.095532;FV700 S6D1 m9982;F;V;700.0;6.0;1.0;False;Nei;K;MED;9981.89;72296.0;0.05070071;0.05070071@72296;POINT Z (240621.412 6978499.778 227.895);5973.0;5022.0;5.372;;;;;;47.0;;;;2.8 mm;;;;;SN66620;1;47.0;-3.266666666666666;;2025-01-04T17:30:00;false
https://www.hjorteviltregisteret.no/api/v0/fallvilt/1316288;1316288;Hann;2025-06-04T23:15:00;False;62.799767;9.651207;5022;Rennebu;;;PåkjørtAvMotorkjøretøy;Personbil;2025-06-05T19:48:22.279819Z;2025-06-05T19:48:22.286129Z;2025-06-04;2025;5022 Rennebu;;Rådyr;Hann;Voksen;PåkjørtAvMotorkjøretøy;FunnetDødEtterEttersøk;;1316288;227446.8768424272;6974606.942132238;2026-04-30T07:26:42.095532;FV6516 S2D1 m6220;F;V;6516.0;2.0;1.0;False;Nei;K;MED;6220.15;72574.0;0.73500332;0.73500332@72574;POINT Z (227455.545 6974598.026 670.932);5973.0;5022.0;12.436;;;;;;;;;;;;;;;;6;0.0;11.1;;2025-06-04T23:15:00;false
https://www.hjorteviltregisteret.no/api/v0/fallvilt/1338370;1338370;Ukjent;2026-04-18T08:00:00;False;62.797;10.022309;5022;Rennebu;;;PåkjørtAvMotorkjøretøy;;2026-04-18T07:06:13.389065Z;2026-04-24T11:24:02.895678Z;2026-04-18;2026;5022 Rennebu;;Grevling;Ukjent;Ukjent;PåkjørtAvMotorkjøretøy;DødtPåStedet;;1338370;246304.10165513447;6972781.904449695;2026-04-30T07:26:42.095532;EV6 S65D1 m6024;E;V;6.0;65.0;1.0;False;Nei;K;MED;6024.05;72805.0;0.7491194;0.7491194@72805;POINT Z (246302.963 6972782.78 427.484);5973.0;5022.0;1.436;;;;;;;;;9.4;;;;;;SN66740;4;;6.475;;2026-04-18T08:00:00;false
https://www.hjorteviltregisteret.no/api/v0/fallvilt/1307256;1307256;Ukjent;2025-01-11T19:30:00;False;62.68991;10.140681;5022;Rennebu;;;PåkjørtAvMotorkjøretøy;Lastebil;2025-01-11T20:46:22.312476Z;2025-01-12T09:33:11.70278Z;2025-01-11;2025;5022 Rennebu;;Elg;Ukjent;Voksen;PåkjørtAvMotorkjøretøy;EttersøkAvsluttetIkkefunnet;;1307256;251428.74879561705;6960414.54332212;2026-04-30T07:26:42.095532;RV3 S28D1 m1581;R;V;3.0;28.0;1.0;False;Nei;K;MED;1580.839;72269.0;0.16246992;0.16246992@72269;POINT Z (251435.679 6960414.592 488.023);5973.0;5022.0;6.931;;;;;;;;;-8.6;;;;;;SN66810;1;47.0;-3.266666666666666;;2025-01-11T19:30:00;false
