Vegobjekt_540_id,Art,"ÅDT, total",Vegobjekt_540_lengde,antall_kollisjoner,frekvens
1024045936.0,Rådyr,2000.0,4333.994,4,0.0006315124723713293
1024046636.0,Rådyr,500.0,5838.142,4,0.0006311139160618492
1022805428.0,Rådyr,2100.0,5896.163,5,0.0006253126563281641
1024045598.0,Elg,2600.0,2199.918,3,0.000625
1014141521.0,Rådyr,70.0,1530.389,1,0.000625
1024045565.0,Rådyr,950.0,5451.18,4,0.0006249023590064052
1024045945.0,Rådyr,300.0,1324.035,1,0.0006157635467980296
1024046157.0,Rådyr,1700.0,8091.558,6,0.0006127450980392157
1024046938.0,Rådyr,717.0,5811.055,4,0.0006127450980392157
1024046675.0,Hjort,557.0,2715.471,2,0.0006112469437652812
1024046277.0,Rådyr,1500.0,13300.965,9,0.0006080670224984799
1022805870.0,Elg,2500.0,7382.255,6,0.0006071645415907711
1024046339.0,Rådyr,750.0,4256.01,3,0.0005992808629644426
1024045678.0,Rådyr,1110.0,3934.405,3,0.0005947660586835844
1024045801.0,Rådyr,750.0,941.0,1,0.0005913660555884093
1024046601.0,Rådyr,1720.0,13505.125,9,0.0005911330049261083
1024046009.0,Rådyr,550.0,6225.395,4,0.0005904059040590406
1015073639.0,Rådyr,2000.0,1403.681,2,0.0005875440658049354
1024046524.0,Elg,800.0,908.569,1,0.0005851375073142189
1024047043.0,Rådyr,1060.0,2371.326,2,0.0005829204313611193
1024045590.0,Rådyr,500.0,1218.382,1,0.0005820721769499418
1024045805.0,Rådyr,600.0,9827.572,6,0.0005753739930955121
1024046822.0,Rådyr,200.0,1550.655,1,0.0005711022272986865
1024046963.0,Elg,650.0,2894.34,2,0.000564334085778781
1024046963.0,Rådyr,650.0,2894.34,2,0.000564334085778781
1024046693.0,Rådyr,718.0,9919.177,6,0.0005640688163956002
1024046600.0,Elg,600.0,1174.212,1,0.0005636978579481398
1024046292.0,Rådyr,2310.0,6615.941,5,0.000560161326462021
1024046537.0,Rådyr,500.0,4923.337,3,0.0005531993361607966
1024046419.0,Rådyr,4160.0,6813.699,6,0.0005467468562055768
1024045981.0,Rådyr,766.0,8392.722,5,0.0005459111256687411
1024046721.0,Elg,700.0,4821.912,3,0.0005432814197754436
1024046762.0,Rådyr,300.0,7062.902,4,0.0005432568246638599
1024045807.0,Rådyr,1600.0,11320.552,7,0.0005417537342310967
1024046449.0,Rådyr,3530.0,5706.775,5,0.0005413012882970661
1024046891.0,Rådyr,950.0,2751.729,2,0.0005402485143165856
1022805590.0,Hjort,1700.0,3889.992,3,0.0005366726296958855
1024045906.0,Rådyr,400.0,16390.732,9,0.0005360014293371449
1024047044.0,Elg,3800.0,3671.029,4,0.0005354035604336768
1024046398.0,Rådyr,2080.0,5404.362,4,0.0005344735435595938
1024046610.0,Rådyr,600.0,3145.772,2,0.0005339028296849973
1015073683.0,Rådyr,1500.0,2256.957,2,0.0005323396326856535
1022805666.0,Rådyr,1600.0,278.617,1,0.0005321979776476849
1024046884.0,Rådyr,2540.0,6864.779,5,0.000531632110579479
1016450159.0,Rådyr,900.0,992.139,1,0.0005285412262156448
1024046072.0,Rådyr,750.0,3037.402,2,0.0005281225244256667
1024046126.0,Rådyr,688.0,5002.073,3,0.0005272407732864675
1024046889.0,Rådyr,640.0,3192.223,2,0.0005219206680584551
1024046622.0,Rådyr,937.0,10573.151,6,0.0005212858384013901
