Dato;År;Kommune;Stedfesting;Art;Kjønn;Alder;Årsak;Utfall;Merkelappnummer;Fallvilt-ID;UTM33 øst;UTM33 nord;vegsystemreferanse.kortform;vegkategori;fase;vegnr;strekning;delstrekning;arm;adskilte_løp;trafikantgruppe;retning;meter;veglenkesekvensid;relativPosisjon;veglenkesekvens.kortform;geometri.wkt;geometri.srid;kommune (treff);avstand_vegnettet_m;Vegobjekt_540_id;ÅDT, total;Vegobjekt_105_id;Fartsgrense;Vegobjekt_540_lengde;snow_depth;max_temperature;min_temperature;mean_temperature;total_precipitation;max_wind_speed;mean_wind_speed;max_wind_gust;precipitation_type;weather_station_id;Måned;monthly_snow_depth;monthly_mean_temperature;monthly_mean_wind_speed
2025-01-08;2025;5046 Høylandet;Storkløyva, mellom Flått og Kjølstad bru, FV 17;Elg;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Ettersøk avsluttet - ikke funnet;;1317099;373901;7178402;FV17 S17D1 m2132;F;V;17.0;17.0;1.0;False;Nei;K;MED;2131.5;578103.0;0.18471051;0.18471051@578103;POINT Z (373903.662 7178401.264 66.274);5973.0;5046.0;2.762;1024046464.0;1100.0;86975503.0;80.0;22932.805;;;;;;;;;;;1;30.5;-6.4;
2025-01-09;2025;5028 Melhus;Gylland;Elg;Hunn;Voksent dyr;Påkjørt av motorkjøretøy;Avlivet etter ettersøk;100000130387.0;1307022;259925,8297;7005083,92;KV5010 S1D1 m147;K;V;5010.0;1.0;1.0;False;Nei;K;MED;146.612;44778.0;0.04039779;0.04039779@44778;POINT Z (259928.576 7005083.776 59.236);5973.0;5028.0;2.75;1013407668.0;30.0;80512970.0;30.0;95.0;68.0;;;;0.2 mm;;;;;SN68270;1;60.285714285714285;5.766666666666666;
2025-01-08;2025;5061 Rindal;Høgkleivan;Elg;Hann;Kalv/årsunge;Påkjørt av motorkjøretøy;Avlivet på stedet;;1306811;212187,9566;7008940,28;FV65 S5D1 m7727;F;V;65.0;5.0;1.0;False;Nei;K;MED;7727.13;249583.0;0.79952455;0.79952455@249583;POINT Z (212189.016 7008946.175 183.194);5973.0;5061.0;5.99;1024046500.0;1600.0;80543467.0;80.0;7555.423;;;;;;;;;;;1;20.333333333333332;;
2025-01-09;2025;5053 Inderøy;Nervika;Rådyr;Hann;Voksent dyr;Påkjørt av motorkjøretøy;Dødt på stedet;;1307096;302986,2736;7082185,656;FV6920 S1D1 m1359;F;V;6920.0;1.0;1.0;False;Nei;K;MED;1359.444;578361.0;0.13898927;0.13898927@578361;POINT Z (302985.815 7082187.562 6.487);5973.0;5053.0;1.96;1024047006.0;500.0;86975328.0;60.0;1461.186;;;;-8.0;;;;;;SN71230;1;;-4.366666666666667;
2025-01-08;2025;5047 Overhalla;Bertnem;Elg;Ukjent;Voksent dyr;Påkjørt av motorkjøretøy;Ettersøk avsluttet - ikke funnet;;1306942;359042,7361;7152506,863;FV760 S1D1 m6278;F;V;760.0;1.0;1.0;False;Nei;K;MED;6277.581;578660.0;0.94312751;0.94312751@578660;POINT Z (359042.708 7152506.261 10.998);5973.0;5047.0;0.603;1024045881.0;1200.0;171850968.0;80.0;11864.004;53.0;;;;0 mm;;;;;SN70930;1;51.833333333333336;-3.6;
2025-01-09;2025;5057 Ørland;Karlsenget;Rådyr;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Ettersøk avsluttet - ikke funnet;;1307886;242370,5166;7075938,184;FV6392 S1D1 m5539;F;V;6392.0;1.0;1.0;False;Nei;K;MED;5539.398;72869.0;0.5745919;0.5745919@72869;POINT Z (242369.253 7075930.004 47.544);5973.0;5057.0;8.277;1024046742.0;649.0;469596517.0;80.0;3554.038;20.0;-2 degC;-7.7 degC;-5.9;0 mm;7.6 m/s;3.0;8.7 m/s;;SN71550;1;15.833333333333334;-0.5888888888888889;7.088888888888889
2025-01-08;2025;5060 Nærøysund;Gravvikveien;Elg;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Observert – antatt uskadd;;1307263;353811,3941;7216944,338;PV51505 S49D1 m36;P;V;51505.0;49.0;1.0;False;Nei;K;MED;36.248;574617.0;0.19367251;0.19367251@574617;POINT Z (353818.525 7216960.025 37.021);5973.0;5060.0;17.232;;;86972515.0;50.0;;;;;;;;;;;;1;;-2.29;4.5
2025-01-09;2025;5034 Meråker;Myreng;Rådyr;Hann;Voksent dyr;Påkjørt av motorkjøretøy;Avlivet etter ettersøk;;1306869;342033,8369;7022923,799;FV6774 S1D10 m1059;F;V;6774.0;1.0;10.0;True;Nei;K;MED;1058.822;578244.0;0.76425179;0.76425179@578244;POINT Z (342025.072 7022938.119 470.181);5973.0;5034.0;16.79;1024047074.0;160.0;86973420.0;80.0;1385.588;34.0;-6.5 degC;-11.2 degC;-9.5;0 mm;3.1 m/s;1.9;5.8 m/s;;SN69380;1;40.75;-8.7;2.1
2025-01-08;2025;5028 Melhus;Gaustadbakken, Korsveien;Elg;Ukjent;Voksent dyr;Påkjørt av motorkjøretøy;Observert – antatt uskadd;;1306788;252971,7609;7010429,321;FV6592 S1D1 m2558;F;V;6592.0;1.0;1.0;False;Nei;K;MED;2557.972;72637.0;0.27906833;0.27906833@72637;POINT Z (252973.748 7010427.858 220.111);5973.0;5028.0;2.468;1024046963.0;650.0;179419703.0;60.0;2894.34;;;;;;;;;;;1;60.285714285714285;5.766666666666666;
2025-01-08;2025;5045 Grong;E6 litt sør Bjørgåabrua;Elg;Hann;Kalv/årsunge;Påkjørt av motorkjøretøy;Dødt på stedet;;1306902;371118;7144547;EV6 S97D1 m1492;E;V;6.0;97.0;1.0;False;Nei;K;MED;1492.361;578609.0;0.144716;0.144716@578609;POINT Z (371117.11 7144546.786 124.228);5973.0;5045.0;0.915;1022805567.0;2700.0;86973891.0;90.0;8320.824;53.0;;;;0 mm;;;;;SN70930;1;37.0;-9.7;
